Time,vcu.INS.vy
611850490,0.0195193346589804
611855678,0.0195334181189537
611858008,0.0194953475147486
611922982,0.0195514317601919
611935538,0.0199409835040569
611943085,0.0199899580329657
611962951,0.0192379709333181
611965628,0.0193409249186516
611972957,0.0193077865988016
611982961,0.0193188693374395
611985535,0.0193594116717577
611990687,0.0192981846630573
611992965,0.0192793235182762
612295548,0.0180914048105478
612298204,0.0180740971118212
612300504,0.0180602539330721
612302944,0.018073707818985
612305540,0.01813037507236
612311049,0.018187902867794
612311413,0.0181209780275822
612312957,0.01804737187922
612315533,0.017932090908289
612318007,0.0178834497928619
612320502,0.0178968831896782
612322917,0.0178957730531693
612325654,0.017921194434166
612328002,0.0179031770676374
612330518,0.0178752951323986
612332889,0.0178561452776194
612335616,0.0179090108722448
612338028,0.0179555024951696
612340482,0.0179802682250738
612342973,0.0179707538336515
612345590,0.0180042795836926
612348044,0.018063610419631
612350521,0.01805454865098
612352993,0.0180672258138657
612355704,0.0181053709238768
612358053,0.0181655585765839
612360732,0.0181895717978477
612362967,0.0181887373328209
612365600,0.0182024147361517
612367963,0.018244881182909
612370459,0.0182936135679483
612373033,0.0141237024217844
612375600,0.0143033340573311
612378009,0.0143744703382254
612380480,0.0144195528700948
612382954,0.014416316524148
612385583,0.0144515531137586
612388009,0.0145019451156259
612390666,0.0145654706284404
612392922,0.0146140558645129
612395600,0.0146531527861953
612398005,0.0147075420245528
612400509,0.0146985985338688
612402914,0.0146553935483098
612405641,0.0146562810987234
612408154,0.0146511169150472
612410494,0.0146809313446283
612412916,0.0146435610949993
612415687,0.0145303690806031
612418036,0.0145295709371567
612420537,0.0145489349961281
612422914,0.0145850842818618
612425698,0.0146072041243315
612428004,0.0146461250260472
612430582,0.0146203152835369
612432915,0.0145897911861539
612435500,0.0145431226119399
612438055,0.0145321413874626
612440455,0.0145363789051771
612800518,0.010555456392467
612802987,0.0105858128517866
612805672,0.0106080863624811
612808078,0.0105380527675152
612810481,0.0104793943464756
612813017,0.0104837538674474
612815706,0.010521974414587
